tenure_months,monthly_spend,support_calls,usage_hours,contract_months,late_payments,churn
68.0,23.382263,3.0,49.754353,1.0,0.0,0.0
32.0,128.70596,4.0,66.499825,24.0,0.0,0.0
12.0,29.976255,0.0,32.471554,24.0,1.0,0.0
60.0,45.301666,2.0,45.88379,12.0,1.0,0.0
46.0,20.506239,2.0,73.00478,12.0,0.0,0.0
51.0,77.88337,1.0,32.84736,24.0,2.0,1.0
8.0,63.466698,4.0,59.183167,12.0,1.0,0.0
23.0,41.57908,0.0,28.416178,12.0,2.0,0.0
56.0,78.64172,0.0,46.78076,12.0,1.0,0.0
60.0,72.30821,3.0,58.934536,1.0,1.0,1.0
32.0,119.79594,2.0,1.9094642,24.0,1.0,0.0
58.0,136.10693,2.0,39.313538,24.0,3.0,0.0
61.0,104.83374,1.0,58.58664,1.0,1.0,0.0
28.0,36.17335,4.0,54.516884,1.0,1.0,1.0
65.0,58.400803,2.0,39.552433,1.0,0.0,0.0
21.0,138.73138,3.0,27.90836,1.0,0.0,1.0
18.0,31.535484,2.0,62.569298,24.0,1.0,0.0
50.0,72.89126,2.0,43.551865,24.0,2.0,0.0
46.0,142.5256,1.0,60.906944,12.0,0.0,0.0
11.0,143.58643,4.0,57.60446,1.0,3.0,1.0
60.0,73.45641,0.0,41.051636,1.0,2.0,1.0
15.0,106.7616,2.0,71.45123,12.0,1.0,0.0
58.0,79.37693,2.0,38.11445,1.0,2.0,0.0
1.0,117.94987,4.0,73.80908,1.0,0.0,1.0
58.0,24.105574,1.0,76.42585,24.0,1.0,1.0
57.0,38.74043,3.0,71.0023,12.0,1.0,0.0
57.0,99.84585,3.0,46.38878,24.0,1.0,0.0
48.0,50.231792,0.0,100.94158,1.0,0.0,0.0
34.0,106.5868,3.0,53.03689,1.0,0.0,0.0
51.0,65.65898,4.0,54.82113,24.0,4.0,0.0
20.0,135.26392,0.0,49.558773,24.0,0.0,0.0
57.0,126.50372,1.0,27.40467,12.0,1.0,0.0
41.0,84.06892,2.0,75.90147,12.0,1.0,0.0
34.0,120.476364,2.0,38.551933,1.0,1.0,1.0
37.0,55.247925,3.0,68.39222,12.0,0.0,0.0
41.0,84.25377,2.0,73.19106,1.0,1.0,0.0
3.0,45.67267,3.0,62.06643,1.0,1.0,0.0
11.0,131.9152,0.0,36.160614,12.0,2.0,0.0
18.0,126.99879,3.0,43.178436,1.0,0.0,1.0
9.0,137.27945,1.0,1.0,1.0,0.0,1.0
32.0,134.072,1.0,47.670647,1.0,1.0,0.0
49.0,144.74751,0.0,66.05421,1.0,0.0,1.0
48.0,49.683712,1.0,45.249897,24.0,2.0,0.0
34.0,141.13716,1.0,38.198395,24.0,0.0,0.0
62.0,94.25771,4.0,44.045063,1.0,1.0,0.0
41.0,74.92436,0.0,74.30732,1.0,1.0,0.0
6.0,92.84861,2.0,48.912685,24.0,2.0,0.0
56.0,64.53831,1.0,87.158325,1.0,4.0,1.0
42.0,57.51189,2.0,38.58533,12.0,0.0,0.0
46.0,51.370865,2.0,54.344635,1.0,2.0,0.0
41.0,30.71564,1.0,41.331963,12.0,4.0,0.0
40.0,84.55344,2.0,91.48973,1.0,0.0,0.0
7.0,135.40901,2.0,53.594105,12.0,0.0,0.0
41.0,101.919754,4.0,92.56152,12.0,1.0,1.0
58.0,87.72683,3.0,41.59745,1.0,2.0,0.0
22.0,75.71708,2.0,80.55158,12.0,3.0,0.0
44.0,80.37221,4.0,52.36007,12.0,1.0,0.0
3.0,47.206055,3.0,66.73311,24.0,3.0,0.0
26.0,126.98167,3.0,25.60578,12.0,1.0,1.0
32.0,45.789783,1.0,56.96828,1.0,0.0,0.0
71.0,113.16096,0.0,28.617592,12.0,4.0,0.0
16.0,118.79805,2.0,55.14193,1.0,1.0,1.0
20.0,94.73298,0.0,19.632198,24.0,2.0,1.0
30.0,132.18044,1.0,48.11834,24.0,1.0,0.0
72.0,57.836544,1.0,71.91224,1.0,2.0,0.0
62.0,134.61024,1.0,60.951077,12.0,0.0,0.0
3.0,114.82336,1.0,25.321,12.0,1.0,1.0
17.0,123.83748,2.0,12.032272,1.0,0.0,1.0
60.0,106.39536,3.0,59.938892,12.0,0.0,0.0
5.0,130.0246,3.0,81.62398,12.0,1.0,0.0
62.0,149.10286,1.0,30.721079,12.0,0.0,0.0
21.0,74.62117,3.0,91.94808,12.0,2.0,0.0
67.0,125.80904,0.0,49.870132,12.0,0.0,0.0
22.0,116.79537,1.0,10.826129,12.0,1.0,1.0
32.0,78.87312,2.0,18.782393,12.0,1.0,0.0
48.0,140.50337,1.0,65.39898,12.0,0.0,0.0
10.0,71.27537,2.0,52.591362,12.0,0.0,0.0
41.0,93.51057,0.0,79.64442,12.0,0.0,0.0
37.0,33.772507,1.0,26.037504,1.0,0.0,0.0
57.0,49.350777,1.0,52.369896,12.0,0.0,0.0
72.0,129.2905,6.0,50.13522,12.0,1.0,0.0
48.0,71.55186,4.0,47.13971,1.0,0.0,0.0
30.0,71.230934,6.0,42.347855,1.0,0.0,1.0
30.0,51.97753,1.0,42.746014,12.0,3.0,0.0
31.0,83.90934,1.0,53.492916,1.0,0.0,0.0
59.0,124.7562,1.0,56.05162,1.0,0.0,1.0
24.0,136.37134,3.0,55.051456,1.0,2.0,1.0
13.0,29.114876,0.0,74.11975,12.0,1.0,0.0
25.0,94.72669,5.0,25.97443,24.0,0.0,0.0
2.0,80.74554,4.0,13.76633,24.0,0.0,0.0
8.0,99.85664,2.0,70.3393,24.0,1.0,0.0
7.0,78.145836,2.0,31.1295,24.0,0.0,0.0
56.0,71.82383,2.0,42.410484,1.0,1.0,1.0
53.0,81.34449,1.0,37.758007,1.0,1.0,1.0
51.0,95.65989,4.0,37.329754,1.0,1.0,0.0
34.0,85.127815,2.0,20.834719,1.0,0.0,1.0
52.0,81.37878,0.0,38.609447,24.0,2.0,0.0
12.0,126.31859,3.0,62.98662,24.0,0.0,0.0
65.0,116.93424,2.0,49.92137,12.0,1.0,0.0
37.0,64.3792,3.0,60.09014,24.0,3.0,1.0
68.0,124.07503,4.0,40.07836,12.0,1.0,1.0
11.0,130.9746,6.0,68.05692,12.0,0.0,1.0
36.0,39.953987,3.0,39.832764,1.0,1.0,0.0
51.0,95.74872,3.0,7.828854,24.0,1.0,0.0
36.0,57.09056,0.0,56.332478,12.0,4.0,0.0
33.0,116.0924,1.0,65.347694,1.0,1.0,1.0
12.0,51.04209,3.0,38.81522,1.0,1.0,0.0
28.0,107.282455,3.0,73.98412,24.0,2.0,0.0
18.0,53.166206,3.0,32.986156,24.0,0.0,0.0
22.0,86.44869,1.0,63.414536,12.0,1.0,0.0
50.0,143.32404,1.0,84.895515,24.0,1.0,0.0
46.0,69.56998,2.0,50.73462,1.0,1.0,1.0
44.0,133.84601,1.0,45.470337,24.0,1.0,0.0
27.0,148.3028,1.0,47.886566,12.0,1.0,0.0
70.0,133.7306,2.0,82.56591,12.0,1.0,0.0
7.0,41.562584,1.0,58.055653,24.0,1.0,0.0
25.0,126.555565,3.0,92.884056,24.0,0.0,0.0
9.0,24.17942,1.0,55.58503,1.0,1.0,0.0
25.0,71.12924,2.0,36.92407,24.0,2.0,0.0
70.0,133.19534,2.0,38.32986,12.0,1.0,0.0
27.0,109.53779,2.0,51.232147,1.0,1.0,1.0
66.0,89.256256,2.0,9.173548,12.0,2.0,0.0
36.0,70.422325,3.0,40.500202,12.0,1.0,0.0
51.0,125.5986,3.0,40.944042,12.0,1.0,1.0
33.0,112.24259,2.0,54.795795,12.0,0.0,0.0
20.0,80.89269,3.0,88.836365,1.0,0.0,0.0
56.0,136.02296,4.0,51.09633,1.0,5.0,1.0
70.0,49.89324,2.0,11.546819,24.0,1.0,0.0
19.0,42.150898,2.0,31.721848,1.0,1.0,0.0
57.0,103.56449,1.0,55.245758,12.0,1.0,0.0
19.0,146.35927,2.0,51.859894,12.0,0.0,1.0
52.0,52.143356,1.0,82.48911,1.0,1.0,0.0
57.0,52.45715,1.0,69.201546,1.0,4.0,1.0
33.0,38.13485,4.0,68.60231,1.0,2.0,0.0
54.0,131.87326,3.0,45.657337,24.0,0.0,0.0
20.0,49.43168,1.0,71.98242,24.0,0.0,0.0
6.0,85.41321,1.0,32.08154,1.0,2.0,1.0
7.0,148.81342,1.0,69.36588,1.0,0.0,1.0
33.0,21.578318,3.0,44.351624,12.0,1.0,0.0
65.0,92.34319,4.0,21.040133,12.0,0.0,0.0
10.0,86.59757,0.0,61.864735,12.0,0.0,0.0
33.0,124.96816,4.0,77.950874,12.0,1.0,1.0
51.0,66.1866,2.0,41.86796,12.0,0.0,0.0
15.0,73.344376,0.0,81.25523,1.0,1.0,0.0
52.0,41.831936,3.0,16.881182,24.0,3.0,0.0
23.0,116.30598,4.0,26.064135,12.0,0.0,1.0
59.0,122.01216,4.0,47.06548,1.0,1.0,0.0
42.0,37.76623,1.0,42.58472,24.0,1.0,0.0
40.0,71.14942,0.0,36.657333,1.0,1.0,0.0
13.0,136.07765,3.0,52.673553,1.0,1.0,1.0
34.0,20.351946,2.0,39.428192,1.0,0.0,0.0
62.0,58.83868,5.0,42.820507,12.0,1.0,0.0
2.0,92.155495,1.0,55.5685,12.0,1.0,0.0
55.0,63.4322,4.0,36.64926,12.0,0.0,0.0
36.0,55.365875,3.0,47.87964,1.0,1.0,0.0
52.0,79.80487,1.0,37.08922,1.0,1.0,0.0
48.0,43.598003,2.0,25.887592,1.0,2.0,0.0
32.0,88.85128,1.0,65.27404,12.0,1.0,0.0
23.0,111.87047,3.0,84.15589,1.0,1.0,0.0
46.0,94.788345,3.0,71.29144,12.0,2.0,0.0
11.0,32.104214,0.0,56.634323,12.0,2.0,0.0
43.0,129.77312,4.0,37.16943,12.0,1.0,0.0
7.0,42.74712,1.0,44.261627,12.0,0.0,0.0
47.0,119.42556,1.0,71.14043,12.0,0.0,0.0
46.0,66.87347,1.0,4.3702645,1.0,1.0,0.0
7.0,121.75897,3.0,42.734795,12.0,0.0,1.0
55.0,46.81548,3.0,64.68232,1.0,1.0,0.0
30.0,44.266075,1.0,27.234392,12.0,0.0,0.0
57.0,84.61336,5.0,58.467766,12.0,0.0,0.0
3.0,24.281681,2.0,57.539787,12.0,1.0,0.0
13.0,49.288654,2.0,20.913351,24.0,0.0,0.0
36.0,114.12159,1.0,51.739563,1.0,1.0,0.0
14.0,128.85985,3.0,37.651096,1.0,1.0,1.0
24.0,30.502098,2.0,58.32197,24.0,1.0,0.0
48.0,134.6701,1.0,63.395775,1.0,0.0,0.0
11.0,123.67724,1.0,57.97878,12.0,1.0,0.0
49.0,133.05896,2.0,51.451847,1.0,2.0,0.0
8.0,110.795715,3.0,55.777424,12.0,0.0,1.0
13.0,107.6399,3.0,26.478699,12.0,1.0,0.0
43.0,88.26212,0.0,49.384964,24.0,1.0,0.0
58.0,104.86234,2.0,34.070335,12.0,1.0,0.0
13.0,139.48425,1.0,70.630775,12.0,0.0,1.0
22.0,33.06786,1.0,63.664764,24.0,0.0,0.0
67.0,61.04938,5.0,63.60803,24.0,0.0,0.0
72.0,29.419147,0.0,84.26983,1.0,0.0,0.0
42.0,142.82468,1.0,43.40045,12.0,1.0,0.0
33.0,77.884514,3.0,39.01985,1.0,0.0,0.0
25.0,107.794785,1.0,42.927944,1.0,0.0,1.0
45.0,129.34561,1.0,17.955273,24.0,1.0,0.0
43.0,148.83003,3.0,19.528337,24.0,0.0,1.0
22.0,41.03172,3.0,62.422062,24.0,1.0,0.0
2.0,123.93664,1.0,22.097197,12.0,0.0,0.0
11.0,135.36497,1.0,28.501749,1.0,0.0,1.0
70.0,26.3538,2.0,47.965603,1.0,2.0,0.0
31.0,118.03178,2.0,41.755447,1.0,2.0,0.0
35.0,66.11429,2.0,67.71305,1.0,1.0,0.0
34.0,104.31758,3.0,51.209225,12.0,1.0,1.0
57.0,86.82626,0.0,34.03063,12.0,0.0,0.0
5.0,53.76649,0.0,69.43266,1.0,0.0,0.0
6.0,37.578777,3.0,64.57583,1.0,1.0,0.0
20.0,35.20314,3.0,21.78033,1.0,2.0,0.0
36.0,33.431973,2.0,55.045334,24.0,2.0,0.0
49.0,102.912704,3.0,35.698463,1.0,1.0,1.0
36.0,65.68341,1.0,35.171246,1.0,0.0,0.0
32.0,48.162346,2.0,87.3903,12.0,2.0,0.0
68.0,109.94506,2.0,52.485428,1.0,2.0,0.0
12.0,109.29044,3.0,45.64923,1.0,2.0,1.0
42.0,90.09188,3.0,51.699024,24.0,3.0,0.0
40.0,141.54451,1.0,67.4848,1.0,0.0,0.0
35.0,70.10385,1.0,35.96791,1.0,2.0,0.0
59.0,128.66219,3.0,39.383,1.0,0.0,0.0
20.0,29.768124,3.0,63.13343,1.0,1.0,0.0
69.0,116.17804,1.0,19.672215,24.0,2.0,0.0
24.0,148.49817,5.0,69.81544,12.0,2.0,0.0
40.0,130.05777,1.0,17.896406,12.0,1.0,0.0
38.0,95.356415,3.0,45.084663,12.0,3.0,0.0
62.0,101.47959,5.0,18.023342,1.0,2.0,1.0
32.0,65.92764,1.0,28.874968,12.0,0.0,0.0
21.0,108.33308,4.0,75.95334,1.0,0.0,0.0
2.0,120.1514,4.0,70.88916,24.0,2.0,1.0
27.0,149.7697,2.0,73.02644,12.0,0.0,0.0
60.0,84.02018,2.0,21.020235,1.0,0.0,0.0
1.0,27.969528,0.0,28.978876,24.0,2.0,0.0
65.0,97.46153,5.0,56.79745,1.0,0.0,0.0
40.0,35.47314,2.0,64.30635,1.0,0.0,0.0
11.0,51.819454,1.0,34.009727,1.0,0.0,0.0
22.0,62.74139,2.0,38.421574,1.0,1.0,0.0
40.0,115.03388,2.0,27.373047,1.0,0.0,1.0
23.0,43.895058,2.0,83.16491,24.0,1.0,1.0
8.0,41.547882,2.0,40.500885,1.0,2.0,0.0
48.0,25.845352,0.0,50.625847,1.0,0.0,0.0
49.0,133.5212,6.0,51.672894,1.0,2.0,1.0
9.0,110.15571,3.0,72.11241,1.0,2.0,0.0
21.0,25.19304,2.0,30.950668,1.0,0.0,1.0
18.0,23.678,3.0,73.36522,1.0,0.0,1.0
48.0,92.627655,1.0,24.425585,1.0,1.0,0.0
53.0,56.729473,2.0,73.31441,1.0,1.0,0.0
53.0,97.574425,1.0,15.694008,1.0,0.0,0.0
68.0,76.49854,2.0,47.908886,12.0,2.0,0.0
56.0,140.03064,3.0,82.50874,24.0,2.0,0.0
24.0,57.415173,2.0,63.94512,1.0,0.0,0.0
8.0,108.288895,4.0,58.424847,12.0,2.0,1.0
45.0,27.027061,2.0,29.031696,12.0,0.0,0.0
66.0,144.26187,0.0,35.303974,12.0,1.0,0.0
71.0,147.49847,0.0,76.88792,12.0,1.0,0.0
17.0,116.079704,1.0,59.44679,12.0,2.0,0.0
18.0,80.47762,2.0,67.804985,24.0,1.0,0.0
3.0,48.599148,2.0,51.475876,1.0,3.0,1.0
11.0,125.62712,2.0,44.36537,12.0,2.0,1.0
40.0,115.726036,3.0,65.33323,12.0,1.0,0.0
40.0,48.854027,2.0,55.18706,24.0,3.0,0.0
27.0,78.65799,0.0,46.6008,12.0,1.0,0.0
23.0,80.163864,3.0,21.719858,24.0,1.0,0.0
60.0,127.43337,1.0,69.07816,12.0,1.0,0.0
34.0,108.89981,3.0,58.800526,12.0,0.0,0.0
59.0,103.61178,1.0,37.87476,24.0,3.0,0.0
70.0,104.47756,3.0,73.58505,12.0,1.0,0.0
23.0,55.16111,0.0,54.87625,12.0,2.0,0.0
15.0,68.322464,1.0,55.26798,24.0,2.0,0.0
69.0,25.936096,1.0,67.67791,1.0,2.0,0.0
46.0,122.302345,0.0,63.374134,24.0,0.0,0.0
21.0,76.289764,2.0,55.87349,24.0,2.0,0.0
45.0,76.970985,4.0,46.2283,12.0,1.0,0.0
38.0,51.896313,5.0,89.67329,1.0,1.0,0.0
66.0,47.225548,3.0,35.323982,1.0,0.0,0.0
19.0,96.41685,1.0,64.91943,1.0,1.0,0.0
72.0,50.23189,2.0,48.322815,1.0,4.0,0.0
68.0,28.34715,3.0,59.094273,12.0,1.0,0.0
14.0,119.77596,6.0,74.668465,24.0,0.0,0.0
12.0,68.941025,0.0,43.768433,12.0,1.0,0.0
39.0,69.430626,2.0,62.036728,1.0,0.0,0.0
4.0,76.07137,2.0,55.311146,24.0,0.0,0.0
22.0,125.955826,0.0,37.17397,24.0,1.0,0.0
32.0,61.708797,2.0,75.16198,12.0,1.0,0.0
70.0,118.54471,3.0,64.223755,1.0,0.0,0.0
72.0,142.14082,0.0,41.309002,12.0,1.0,0.0
11.0,105.912865,2.0,72.07188,12.0,2.0,1.0
65.0,76.11854,4.0,33.37161,1.0,1.0,0.0
7.0,117.21266,1.0,49.421314,12.0,1.0,1.0
54.0,79.52666,3.0,41.415524,12.0,1.0,0.0
61.0,73.87554,2.0,65.02624,1.0,1.0,0.0
65.0,88.28681,1.0,40.406334,24.0,0.0,0.0
17.0,61.3039,2.0,65.16966,24.0,1.0,0.0
65.0,33.55253,0.0,61.889202,12.0,0.0,0.0
9.0,73.93076,3.0,42.495018,1.0,3.0,1.0
38.0,36.101395,3.0,86.59435,1.0,1.0,0.0
34.0,73.35739,2.0,35.095306,12.0,1.0,0.0
23.0,92.40138,2.0,21.819717,24.0,0.0,0.0
2.0,140.99245,3.0,67.12199,12.0,2.0,1.0
56.0,24.708902,1.0,7.0118413,1.0,0.0,0.0
25.0,100.7896,1.0,79.836334,1.0,0.0,0.0
48.0,79.50558,2.0,52.035076,1.0,1.0,0.0
30.0,22.633947,2.0,21.460299,12.0,1.0,0.0
27.0,52.44126,1.0,31.03071,12.0,2.0,0.0
64.0,35.403084,2.0,17.318226,1.0,3.0,0.0
7.0,48.18324,2.0,57.657658,12.0,1.0,0.0
54.0,55.69413,2.0,23.461716,24.0,3.0,0.0
54.0,72.16982,1.0,60.041782,12.0,0.0,0.0
28.0,88.77512,1.0,43.90352,1.0,2.0,1.0
19.0,20.128698,2.0,40.492718,12.0,0.0,0.0
1.0,41.04302,3.0,60.18692,24.0,1.0,0.0
68.0,32.16363,3.0,62.470226,1.0,1.0,0.0
69.0,91.45754,1.0,72.91605,1.0,2.0,0.0
18.0,62.77973,2.0,37.324432,12.0,0.0,1.0
3.0,91.2917,0.0,49.403812,1.0,0.0,0.0
9.0,48.83703,5.0,37.293457,24.0,1.0,0.0
5.0,23.149817,3.0,53.25975,12.0,0.0,0.0
60.0,142.3777,0.0,34.434208,1.0,2.0,0.0
65.0,34.080055,2.0,41.518066,24.0,2.0,0.0
12.0,36.49164,3.0,41.61999,12.0,3.0,1.0
54.0,39.051086,0.0,55.867218,12.0,0.0,0.0
13.0,147.56595,2.0,50.0591,1.0,1.0,0.0
27.0,100.29583,1.0,60.126034,12.0,0.0,0.0
44.0,99.33769,0.0,47.86007,24.0,1.0,0.0
52.0,148.27077,2.0,38.404945,1.0,0.0,0.0
63.0,31.49704,2.0,53.825657,1.0,1.0,0.0
4.0,146.68512,0.0,31.65632,24.0,0.0,0.0
15.0,46.52171,0.0,61.383156,1.0,1.0,0.0
21.0,100.9993,0.0,44.290695,1.0,1.0,0.0
23.0,74.61086,2.0,54.09039,1.0,2.0,1.0
72.0,69.913734,2.0,54.40048,12.0,0.0,0.0
56.0,141.06163,0.0,82.03091,12.0,0.0,0.0
24.0,39.399605,1.0,57.631676,1.0,0.0,0.0
70.0,149.61897,1.0,51.46438,1.0,2.0,0.0
36.0,69.286255,4.0,36.152584,12.0,2.0,0.0
37.0,104.34074,3.0,66.04771,12.0,1.0,0.0
32.0,145.82788,1.0,44.59589,1.0,1.0,0.0
11.0,27.488136,2.0,19.490396,12.0,0.0,0.0
68.0,139.97237,2.0,46.098236,12.0,0.0,0.0
2.0,93.81548,3.0,53.829796,1.0,0.0,1.0
13.0,111.571594,1.0,33.629887,1.0,1.0,1.0
17.0,39.393944,3.0,47.636395,24.0,2.0,0.0
21.0,89.34036,4.0,48.570343,24.0,1.0,1.0
10.0,107.556786,2.0,48.881844,1.0,0.0,0.0
2.0,79.31215,1.0,74.69284,24.0,0.0,1.0
49.0,40.14807,1.0,23.768843,12.0,0.0,0.0
70.0,51.73548,1.0,90.67605,24.0,0.0,0.0
9.0,131.07106,0.0,49.343292,24.0,1.0,0.0
22.0,24.48123,2.0,61.604225,12.0,0.0,0.0
37.0,112.15207,4.0,52.556725,12.0,0.0,0.0
67.0,149.9207,0.0,15.479528,1.0,1.0,0.0
50.0,20.97279,4.0,28.868446,12.0,0.0,0.0
56.0,40.93594,3.0,39.51448,1.0,0.0,0.0
42.0,107.638756,1.0,69.8744,12.0,2.0,0.0
31.0,27.79881,3.0,22.313578,1.0,1.0,1.0
15.0,96.6727,2.0,32.88525,24.0,1.0,0.0
63.0,108.92001,5.0,53.297016,24.0,1.0,0.0
58.0,96.45902,3.0,59.45713,1.0,1.0,0.0
2.0,67.474014,1.0,58.854416,12.0,3.0,0.0
52.0,110.6467,1.0,30.319899,24.0,0.0,0.0
7.0,97.25828,2.0,18.040173,12.0,0.0,1.0
54.0,46.992832,0.0,60.781193,24.0,1.0,0.0
60.0,93.20762,8.0,78.662476,12.0,2.0,1.0
10.0,134.64793,5.0,43.093967,1.0,1.0,0.0
32.0,106.688324,6.0,27.10627,12.0,0.0,1.0
9.0,81.33289,1.0,41.402393,12.0,0.0,0.0
41.0,61.805935,1.0,57.881252,1.0,1.0,0.0
67.0,31.165207,2.0,45.337135,24.0,0.0,0.0
6.0,51.80153,2.0,78.143875,12.0,0.0,1.0
29.0,21.454277,1.0,68.49941,1.0,3.0,0.0
71.0,148.26137,1.0,53.68676,12.0,1.0,0.0
22.0,48.92269,4.0,10.913542,1.0,1.0,1.0
10.0,125.933876,3.0,36.154728,12.0,0.0,1.0
36.0,41.923836,1.0,39.039555,12.0,1.0,1.0
37.0,56.86815,1.0,35.06768,1.0,1.0,1.0
48.0,74.37605,3.0,53.816425,24.0,1.0,0.0
23.0,62.172737,1.0,54.22884,24.0,0.0,0.0
69.0,123.78561,2.0,16.518503,12.0,2.0,0.0
38.0,144.50014,1.0,66.091965,12.0,1.0,0.0
21.0,133.78828,2.0,50.322475,24.0,0.0,0.0
70.0,39.965122,2.0,57.15283,1.0,3.0,0.0
67.0,120.96953,1.0,64.89653,1.0,0.0,0.0
36.0,39.233097,3.0,34.660606,1.0,2.0,1.0
2.0,138.73955,4.0,75.178116,12.0,1.0,1.0
43.0,87.32421,1.0,47.164127,1.0,2.0,0.0
40.0,63.72954,0.0,80.250946,12.0,1.0,0.0
11.0,40.413315,2.0,32.121353,12.0,2.0,0.0
46.0,21.535181,3.0,78.76493,1.0,0.0,0.0
61.0,52.23311,1.0,31.920319,1.0,0.0,0.0
8.0,138.8226,1.0,100.975624,1.0,4.0,0.0
53.0,123.64409,1.0,30.963326,12.0,2.0,0.0
11.0,146.07318,2.0,71.13174,1.0,1.0,0.0
54.0,33.099,2.0,42.752117,1.0,0.0,1.0
31.0,96.98324,3.0,64.300446,1.0,1.0,1.0
